date,tavg
2024-06-01,15.9
2024-06-02,15.0
2024-06-03,15.6
2024-06-04,16.5
2024-06-05,17.3
2024-06-06,17.5
2024-06-07,17.7
2024-06-08,16.3
2024-06-09,16.0
2024-06-10,16.2
2024-06-11,15.7
2024-06-12,16.8
2024-06-13,18.0
2024-06-14,17.8
2024-06-15,18.5
2024-06-16,19.2
2024-06-17,20.0
2024-06-18,19.5
2024-06-19,19.7
2024-06-20,19.4
2024-06-21,19.4
2024-06-22,18.9
2024-06-23,19.2
2024-06-24,19.7
2024-06-25,20.2
2024-06-26,18.2
2024-06-27,16.2
2024-06-28,17.0
2024-06-29,17.6
2024-06-30,17.4
2024-07-01,17.4
2024-07-02,16.2
2024-07-03,16.1
2024-07-04,18.8
2024-07-05,20.6
2024-07-06,21.9
2024-07-07,20.8
2024-07-08,20.0
2024-07-09,19.8
2024-07-10,20.2
2024-07-11,21.2
2024-07-12,21.3
2024-07-13,21.6
2024-07-14,21.4
2024-07-15,20.9
2024-07-16,20.8
2024-07-17,21.1
2024-07-18,20.1
2024-07-19,19.2
2024-07-20,18.7
2024-07-21,18.8
2024-07-22,19.8
2024-07-23,21.3
2024-07-24,20.9
2024-07-25,20.7
2024-07-26,21.3
2024-07-27,20.2
2024-07-28,19.0
2024-07-29,18.6
2024-07-30,19.8
2024-07-31,19.9
2024-08-01,20.5
2024-08-02,20.4
2024-08-03,20.2
2024-08-04,20.8
2024-08-05,22.3
2024-08-06,22.9
2024-08-07,22.7
2024-08-08,21.7
2024-08-09,21.4
2024-08-10,22.4
2024-08-11,20.5
2024-08-12,19.6
2024-08-13,19.9
2024-08-14,21.2
2024-08-15,20.9
2024-08-16,19.6
2024-08-17,18.5
2024-08-18,19.8
2024-08-19,20.8
2024-08-20,21.4
2024-08-21,21.7
2024-08-22,22.8
2024-08-23,23.5
2024-08-24,22.5
2024-08-25,21.5
2024-08-26,21.6
2024-08-27,21.8
2024-08-28,22.7
2024-08-29,23.3
2024-08-30,23.1
2024-08-31,22.1






