date,tavg
2019-06-01,15.5
2019-06-02,16.0
2019-06-03,17.3
2019-06-04,18.3
2019-06-05,18.5
2019-06-06,18.5
2019-06-07,17.6
2019-06-08,16.7
2019-06-09,16.7
2019-06-10,17.3
2019-06-11,17.2
2019-06-12,17.5
2019-06-13,17.4
2019-06-14,17.5
2019-06-15,18.0
2019-06-16,18.2
2019-06-17,18.2
2019-06-18,17.9
2019-06-19,17.5
2019-06-20,17.9
2019-06-21,17.4
2019-06-22,18.2
2019-06-23,20.0
2019-06-24,20.4
2019-06-25,20.4
2019-06-26,20.4
2019-06-27,19.5
2019-06-28,19.2
2019-06-29,18.4
2019-06-30,16.7
2019-07-01,14.3
2019-07-02,15.3
2019-07-03,18.2
2019-07-04,18.1
2019-07-05,18.8
2019-07-06,19.1
2019-07-07,18.3
2019-07-08,19.2
2019-07-09,18.5
2019-07-10,18.5
2019-07-11,20.4
2019-07-12,21.2
2019-07-13,19.7
2019-07-14,19.1
2019-07-15,20.3
2019-07-16,20.0
2019-07-17,20.6
2019-07-18,21.6
2019-07-19,21.4
2019-07-20,21.9
2019-07-21,23.7
2019-07-22,24.1
2019-07-23,23.7
2019-07-24,22.9
2019-07-25,22.5
2019-07-26,20.6
2019-07-27,20.0
2019-07-28,19.6
2019-07-29,21.3
2019-07-30,22.4
2019-07-31,23.6
2019-08-01,23.2
2019-08-02,21.5
2019-08-03,20.3
2019-08-04,22.0
2019-08-05,20.3
2019-08-06,19.1
2019-08-07,19.0
2019-08-08,19.0
2019-08-09,19.2
2019-08-10,19.4
2019-08-11,19.6
2019-08-12,19.5
2019-08-13,19.6
2019-08-14,20.7
2019-08-15,22.2
2019-08-16,23.4
2019-08-17,23.0
2019-08-18,22.9
2019-08-19,22.7
2019-08-20,22.7
2019-08-21,22.8
2019-08-22,22.9
2019-08-23,22.8
2019-08-24,21.5
2019-08-25,21.0
2019-08-26,20.1
2019-08-27,20.2
2019-08-28,19.2
2019-08-29,19.6
2019-08-30,19.4
2019-08-31,17.2
2020-06-01,15.2
2020-06-02,15.4
2020-06-03,15.0
2020-06-04,15.9
2020-06-05,15.3
2020-06-06,14.6
2020-06-07,15.1
2020-06-08,16.0
2020-06-09,17.1
2020-06-10,17.6
2020-06-11,18.0
2020-06-12,17.0
2020-06-13,17.1
2020-06-14,17.7
2020-06-15,18.2
2020-06-16,17.5
2020-06-17,17.9
2020-06-18,17.3
2020-06-19,16.7
2020-06-20,16.7
2020-06-21,15.8
2020-06-22,16.4
2020-06-23,17.2
2020-06-24,19.1
2020-06-25,18.7
2020-06-26,18.5
2020-06-27,17.8
2020-06-28,15.4
2020-06-29,16.1
2020-06-30,16.8
2020-07-01,16.4
2020-07-02,18.0
2020-07-03,18.7
2020-07-04,18.6
2020-07-05,19.2
2020-07-06,20.1
2020-07-07,20.6
2020-07-08,20.8
2020-07-09,19.7
2020-07-10,17.8
2020-07-11,17.0
2020-07-12,18.0
2020-07-13,17.5
2020-07-14,17.3
2020-07-15,18.0
2020-07-16,18.8
2020-07-17,20.4
2020-07-18,21.0
2020-07-19,22.1
2020-07-20,22.9
2020-07-21,23.0
2020-07-22,19.9
2020-07-23,19.3
2020-07-24,19.6
2020-07-25,19.4
2020-07-26,21.4
2020-07-27,21.9
2020-07-28,22.1
2020-07-29,21.2
2020-07-30,20.3
2020-07-31,20.3
2020-08-01,19.5
2020-08-02,19.5
2020-08-03,18.2
2020-08-04,18.0
2020-08-05,18.4
2020-08-06,18.4
2020-08-07,19.4
2020-08-08,19.6
2020-08-09,20.3
2020-08-10,20.8
2020-08-11,20.3
2020-08-12,19.2
2020-08-13,19.1
2020-08-14,18.3
2020-08-15,17.4
2020-08-16,17.7
2020-08-17,16.6
2020-08-18,17.4
2020-08-19,18.5
2020-08-20,20.0
2020-08-21,20.3
2020-08-22,16.8
2020-08-23,15.0
2020-08-24,14.8
2020-08-25,15.5
2020-08-26,16.0
2020-08-27,16.9
2020-08-28,17.6
2020-08-29,18.3
2020-08-30,18.5
2020-08-31,18.5
2021-06-01,18.9
2021-06-02,18.8
2021-06-03,16.7
2021-06-04,16.4
2021-06-05,15.2
2021-06-06,14.9
2021-06-07,14.9
2021-06-08,15.5
2021-06-09,16.2
2021-06-10,16.6
2021-06-11,17.5
2021-06-12,17.5
2021-06-13,17.8
2021-06-14,18.3
2021-06-15,19.5
2021-06-16,21.0
2021-06-17,21.6
2021-06-18,20.4
2021-06-19,22.6
2021-06-20,23.7
2021-06-21,23.2
2021-06-22,22.7
2021-06-23,23.0
2021-06-24,23.1
2021-06-25,23.2
2021-06-26,22.7
2021-06-27,22.7
2021-06-28,22.1
2021-06-29,21.6
2021-06-30,21.0
2021-07-01,21.4
2021-07-02,21.6
2021-07-03,22.4
2021-07-04,24.5
2021-07-05,22.3
2021-07-06,21.9
2021-07-07,21.2
2021-07-08,20.3
2021-07-09,20.2
2021-07-10,19.4
2021-07-11,20.5
2021-07-12,21.2
2021-07-13,21.5
2021-07-14,20.4
2021-07-15,19.0
2021-07-16,19.1
2021-07-17,19.7
2021-07-18,21.5
2021-07-19,23.1
2021-07-20,24.0
2021-07-21,24.5
2021-07-22,23.5
2021-07-23,21.9
2021-07-24,20.8
2021-07-25,22.1
2021-07-26,23.2
2021-07-27,23.4
2021-07-28,19.7
2021-07-29,19.6
2021-07-30,20.0
2021-07-31,20.2
2021-08-01,20.6
2021-08-02,20.9
2021-08-03,21.2
2021-08-04,21.6
2021-08-05,22.4
2021-08-06,23.0
2021-08-07,23.0
2021-08-08,22.3
2021-08-09,22.6
2021-08-10,22.9
2021-08-11,22.6
2021-08-12,21.5
2021-08-13,21.4
2021-08-14,21.2
2021-08-15,20.7
2021-08-16,21.2
2021-08-17,21.0
2021-08-18,21.5
2021-08-19,22.4
2021-08-20,21.0
2021-08-21,20.8
2021-08-22,21.5
2021-08-23,21.2
2021-08-24,20.4
2021-08-25,21.4
2021-08-26,21.2
2021-08-27,21.4
2021-08-28,21.8
2021-08-29,22.9
2021-08-30,23.3
2021-08-31,23.4
2022-06-01,16.3
2022-06-02,17.1
2022-06-03,17.3
2022-06-04,17.2
2022-06-05,16.9
2022-06-06,17.0
2022-06-07,17.1
2022-06-08,16.8
2022-06-09,17.2
2022-06-10,17.3
2022-06-11,17.0
2022-06-12,16.7
2022-06-13,16.9
2022-06-14,17.0
2022-06-15,17.4
2022-06-16,16.8
2022-06-17,18.1
2022-06-18,18.8
2022-06-19,19.2
2022-06-20,20.3
2022-06-21,20.9
2022-06-22,18.9
2022-06-23,17.5
2022-06-24,17.8
2022-06-25,18.3
2022-06-26,17.2
2022-06-27,16.7
2022-06-28,18.3
2022-06-29,19.3
2022-06-30,19.8
2022-07-01,19.9
2022-07-02,18.7
2022-07-03,16.9
2022-07-04,16.1
2022-07-05,17.5
2022-07-06,18.7
2022-07-07,19.0
2022-07-08,18.9
2022-07-09,20.3
2022-07-10,22.0
2022-07-11,22.8
2022-07-12,22.1
2022-07-13,22.8
2022-07-14,22.1
2022-07-15,23.2
2022-07-16,23.8
2022-07-17,24.5
2022-07-18,24.6
2022-07-19,24.3
2022-07-20,23.8
2022-07-21,22.9
2022-07-22,21.1
2022-07-23,19.5
2022-07-24,17.4
2022-07-25,17.9
2022-07-26,20.2
2022-07-27,21.2
2022-07-28,21.2
2022-07-29,22.0
2022-07-30,22.9
2022-07-31,22.9
2022-08-01,23.1
2022-08-02,23.4
2022-08-03,23.3
2022-08-04,23.3
2022-08-05,23.4
2022-08-06,22.0
2022-08-07,21.9
2022-08-08,20.3
2022-08-09,20.9
2022-08-10,22.0
2022-08-11,22.2
2022-08-12,22.1
2022-08-13,22.7
2022-08-14,23.0
2022-08-15,23.1
2022-08-16,23.3
2022-08-17,23.6
2022-08-18,23.8
2022-08-19,23.1
2022-08-20,22.5
2022-08-21,22.8
2022-08-22,21.5
2022-08-23,21.0
2022-08-24,21.2
2022-08-25,21.1
2022-08-26,21.2
2022-08-27,21.5
2022-08-28,21.8
2022-08-29,22.3
2022-08-30,21.7
2022-08-31,21.8
2023-06-01,14.7
2023-06-02,15.7
2023-06-03,16.8
2023-06-04,17.7
2023-06-05,17.6
2023-06-06,17.1
2023-06-07,15.4
2023-06-08,16.2
2023-06-09,17.2
2023-06-10,17.2
2023-06-11,16.5
2023-06-12,17.7
2023-06-13,18.3
2023-06-14,16.6
2023-06-15,15.9
2023-06-16,16.1
2023-06-17,18.1
2023-06-18,18.8
2023-06-19,18.1
2023-06-20,17.7
2023-06-21,16.6
2023-06-22,15.3
2023-06-23,15.1
2023-06-24,15.3
2023-06-25,16.5
2023-06-26,18.7
2023-06-27,18.6
2023-06-28,18.9
2023-06-29,19.4
2023-06-30,19.5
2023-07-01,17.6
2023-07-02,17.6
2023-07-03,19.6
2023-07-04,20.5
2023-07-05,20.9
2023-07-06,21.6
2023-07-07,22.3
2023-07-08,22.9
2023-07-09,21.0
2023-07-10,20.4
2023-07-11,16.7
2023-07-12,16.5
2023-07-13,18.0
2023-07-14,19.5
2023-07-15,20.2
2023-07-16,19.2
2023-07-17,18.5
2023-07-18,17.2
2023-07-19,18.4
2023-07-20,20.7
2023-07-21,21.9
2023-07-22,22.3
2023-07-23,22.8
2023-07-24,22.1
2023-07-25,19.9
2023-07-26,20.4
2023-07-27,22.0
2023-07-28,22.7
2023-07-29,21.5
2023-07-30,22.2
2023-07-31,22.0
2023-08-01,22.4
2023-08-02,23.4
2023-08-03,23.0
2023-08-04,20.5
2023-08-05,21.5
2023-08-06,23.1
2023-08-07,23.4
2023-08-08,23.3
2023-08-09,24.1
2023-08-10,25.4
2023-08-11,25.8
2023-08-12,25.3
2023-08-13,24.9
2023-08-14,24.5
2023-08-15,23.7
2023-08-16,23.3
2023-08-17,23.0
2023-08-18,22.4
2023-08-19,21.7
2023-08-20,21.6
2023-08-21,22.4
2023-08-22,21.9
2023-08-23,22.1
2023-08-24,22.1
2023-08-25,20.7
2023-08-26,19.5
2023-08-27,19.2
2023-08-28,20.9
2023-08-29,19.7
2023-08-30,18.8
2023-08-31,20.2

